"('conv1', 23.929333333333325, 1.8999135163742024e-08, 0)","('bn1', 27.52666666666666, 1.6695355825359e-07, 0)","('layer1.0.conv1', 23.42533333333333, 2.9555572310831235e-09, 0)","('layer1.0.bn1', 28.848000000000006, 7.732304174844306e-08, 0)","('layer1.0.conv2', 25.406000000000006, 1.2245600779806415e-09, 0)","('layer1.0.bn2', 26.728666666666673, 1.2109933936412237e-07, 0)","('layer2.0.conv1', 25.466000000000005, 1.6762156065144362e-09, 0)","('layer2.0.bn1', 29.152, 1.2362804007146527e-07, 0)","('layer2.0.conv2', 26.75333333333333, 1.6303546815227796e-09, 0)","('layer2.0.bn2', 29.768666666666668, 1.1182887415100899e-07, 0)","('layer3.0.conv1', 24.334000000000003, 1.2631107373534995e-09, 0)","('layer3.0.bn1', 29.17133333333334, 1.1630914643889507e-07, 0)","('layer3.0.conv2', 25.714000000000002, 5.714144958422671e-10, 0)","('layer3.0.bn2', 29.920666666666673, 1.4760456586906611e-07, 0)","('layer4.0.conv1', 27.00466666666667, 5.241711508915612e-10, 0)","('layer4.0.bn1', 29.966666666666665, 5.712502501628477e-08, 0)","('layer4.0.conv2', 13.511999999999999, 5.771799804051628e-10, 0)","('layer4.0.bn2', 24.0, 2.2465797043696513e-07, 0)","('avgpool', 23.300666666666665, 3.6705104342868763e-07, 0)"
"('conv1', 22.520666666666664, 7.378562500364059e-09, 0)","('bn1', 27.54, 1.680249546538107e-07, 0)","('layer1.0.conv1', 23.963333333333335, 5.119680797361073e-09, 0)","('layer1.0.bn1', 28.274, 7.861809769027687e-08, 0)","('layer1.0.conv2', 25.577333333333335, 1.8908411208485637e-09, 0)","('layer1.0.bn2', 26.797333333333334, 1.2268177186358824e-07, 0)","('layer2.0.conv1', 25.162000000000003, 2.7575033227347178e-09, 0)","('layer2.0.bn1', 29.30533333333333, 1.2245415926166363e-07, 0)","('layer2.0.conv2', 24.652666666666676, 7.439050049571152e-10, 0)","('layer2.0.bn2', 29.727333333333334, 1.1451485574992452e-07, 0)","('layer3.0.conv1', 24.355333333333334, 5.2396921354456e-10, 0)","('layer3.0.bn1', 29.098, 1.1743606021470137e-07, 0)","('layer3.0.conv2', 23.67, 4.529465151866436e-10, 0)","('layer3.0.bn2', 29.87933333333334, 1.463474795120419e-07, 0)","('layer4.0.conv1', 24.445999999999994, 3.228117255957839e-10, 0)","('layer4.0.bn1', 30.130666666666666, 5.842942801706764e-08, 0)","('layer4.0.conv2', 14.058, 1.0480752578018843e-09, 0)","('layer4.0.bn2', 21.321333333333328, 2.2958616934192833e-07, 0)","('avgpool', 19.94066666666667, 3.8545846725400126e-07, 0.5)"
"('conv1', 21.644000000000002, 2.4670870781281146e-08, 0)","('bn1', 27.915999999999993, 1.6695355825359e-07, 0)","('layer1.0.conv1', 22.391999999999996, 2.460785486376457e-09, 0)","('layer1.0.bn1', 27.74533333333333, 7.861809769027687e-08, 0)","('layer1.0.conv2', 24.467333333333336, 1.8514374032596e-09, 0)","('layer1.0.bn2', 25.922, 1.3375879935984912e-07, 0)","('layer2.0.conv1', 25.33, 3.192403141272532e-09, 0)","('layer2.0.bn1', 29.230666666666664, 1.218672188567628e-07, 0)","('layer2.0.conv2', 25.13866666666667, 1.547828819012567e-09, 0)","('layer2.0.bn2', 29.664, 1.1666364102905695e-07, 0)","('layer3.0.conv1', 23.98666666666667, 1.055494095999166e-09, 0)","('layer3.0.bn1', 29.217333333333332, 1.1405531888728243e-07, 0)","('layer3.0.conv2', 23.887999999999998, 5.012258251326784e-10, 0)","('layer3.0.bn2', 29.756000000000004, 1.46976022690554e-07, 0)","('layer4.0.conv1', 23.815999999999995, 5.336392065601101e-10, 0)","('layer4.0.bn1', 30.27733333333333, 5.777722651667621e-08, 0)","('layer4.0.conv2', 15.031333333333334, 1.1381470400124274e-09, 0)","('layer4.0.bn2', 23.917999999999996, 2.3287163527857047e-07, 0)","('avgpool', 21.002000000000006, 3.8545846725400126e-07, 0.5)"
"('conv1', 21.678, 2.9487719013640267e-08, 0)","('bn1', 27.60866666666666, 1.6695355825359e-07, 0)","('layer1.0.conv1', 22.944000000000003, 2.397430567846943e-09, 0)","('layer1.0.bn1', 27.728666666666662, 7.991315363211068e-08, 0)","('layer1.0.conv2', 25.988666666666667, 1.4190711566243404e-09, 0)","('layer1.0.bn2', 26.114666666666665, 1.290115018614516e-07, 0)","('layer2.0.conv1', 25.233333333333338, 3.0850901990359274e-09, 0)","('layer2.0.bn1', 29.183999999999997, 1.2421498047636607e-07, 0)","('layer2.0.conv2', 24.97866666666667, 1.6394981719713547e-09, 0)","('layer2.0.bn2', 29.666000000000004, 1.1666364102905696e-07, 0)","('layer3.0.conv1', 24.965333333333334, 1.4096250127396269e-09, 0)","('layer3.0.bn1', 29.001333333333335, 1.1687260332679822e-07, 0)","('layer3.0.conv2', 24.326000000000008, 7.131037750317166e-10, 0)","('layer3.0.bn2', 29.829333333333334, 1.4760456586906611e-07, 0)","('layer4.0.conv1', 24.910666666666675, 8.397185923968205e-10, 0)","('layer4.0.bn1', 30.06333333333333, 5.516842051511048e-08, 0)","('layer4.0.conv2', 14.58666666666667, 5.313034193325922e-10, 0)","('layer4.0.bn2', 23.636666666666667, 2.5751262980338655e-07, 0)","('avgpool', 23.339333333333336, 3.512732515784187e-07, 0)"
"('conv1', 24.570000000000004, 4.519111591313663e-09, 0)","('bn1', 28.636666666666667, 1.6695355825359e-07, 0)","('layer1.0.conv1', 22.34133333333333, 3.832469754221771e-09, 0)","('layer1.0.bn1', 28.38533333333334, 8.250326551577828e-08, 0)","('layer1.0.conv2', 25.35933333333333, 5.93742380942786e-10, 0)","('layer1.0.bn2', 26.278000000000006, 1.3059393436091744e-07, 0)","('layer2.0.conv1', 26.206666666666667, 3.4158148806656954e-09, 0)","('layer2.0.bn1', 29.222666666666665, 1.2245415926166363e-07, 0)","('layer2.0.conv2', 24.656000000000006, 1.1645055655915511e-09, 0)","('layer2.0.bn2', 29.73133333333334, 1.1451485574992452e-07, 0)","('layer3.0.conv1', 23.922, 7.703497214808732e-10, 0)","('layer3.0.bn1', 29.229333333333333, 1.1518223266308874e-07, 0)","('layer3.0.conv2', 25.24066666666667, 4.1791777672036295e-10, 0)","('layer3.0.bn2', 29.872, 1.463474795120419e-07, 0)","('layer4.0.conv1', 24.602666666666668, 4.317759869536531e-10, 0)","('layer4.0.bn1', 30.000666666666664, 5.777722651667621e-08, 0)","('layer4.0.conv2', 13.915333333333336, 6.997976999211159e-10, 0)","('layer4.0.bn2', 22.80666666666667, 2.7229722651827613e-07, 0)","('avgpool', 21.197333333333336, 3.6705104342868763e-07, 0)"
"('conv1', 24.030666666666665, 1.7702064648296485e-08, 0)","('bn1', 27.55533333333333, 1.680249546538107e-07, 0)","('layer1.0.conv1', 22.385333333333335, 3.2150107069658892e-09, 0)","('layer1.0.bn1', 27.915333333333333, 8.379832145761208e-08, 0)","('layer1.0.conv2', 24.173333333333332, 1.6289855066891813e-09, 0)","('layer1.0.bn2', 26.19333333333334, 1.2426420436305408e-07, 0)","('layer2.0.conv1', 24.471333333333334, 5.439699317584099e-09, 0)","('layer2.0.bn1', 29.252666666666663, 1.2362804007146527e-07, 0)","('layer2.0.conv2', 24.784000000000006, 1.1645055655915511e-09, 0)","('layer2.0.bn2', 29.772000000000002, 1.1505205206970763e-07, 0)","('layer3.0.conv1', 24.549333333333333, 1.1629159974593986e-09, 0)","('layer3.0.bn1', 29.326000000000004, 1.1518223266308876e-07, 0)","('layer3.0.conv2', 24.68066666666667, 6.507867309437643e-10, 0)","('layer3.0.bn2', 29.920666666666673, 1.4760456586906611e-07, 0)","('layer4.0.conv1', 26.57733333333333, 3.454207895629224e-10, 0)","('layer4.0.bn1', 30.250666666666664, 5.810332726687193e-08, 0)","('layer4.0.conv2', 14.605333333333336, 5.19654135500029e-10, 0)","('layer4.0.bn2', 23.392666666666667, 2.7229722651827613e-07, 0)","('avgpool', 21.197333333333336, 3.6705104342868763e-07, 0)"
"('conv1', 25.145333333333333, 6.361246511999828e-08, 0)","('bn1', 28.22933333333333, 1.5409680145094168e-07, 0)","('layer1.0.conv1', 25.038666666666668, 2.2224503166701953e-09, 0)","('layer1.0.bn1', 28.467333333333336, 7.797056971935998e-08, 0)","('layer1.0.conv2', 25.46333333333333, 9.519579953879053e-10, 0)","('layer1.0.bn2', 26.773333333333337, 1.2268177186358824e-07, 0)","('layer2.0.conv1', 25.79933333333333, 2.8535201657885208e-09, 0)","('layer2.0.bn1', 28.66, 1.1717169561755628e-07, 0)","('layer2.0.conv2', 26.362666666666666, 1.4636618171910722e-09, 0)","('layer2.0.bn2', 29.65266666666667, 1.1666364102905696e-07, 0)","('layer3.0.conv1', 25.455999999999996, 1.8429261993636224e-09, 0)","('layer3.0.bn1', 29.35466666666667, 1.1349186199937928e-07, 0)","('layer3.0.conv2', 25.536000000000005, 7.682051613831696e-10, 0)","('layer3.0.bn2', 29.732000000000003, 1.4823310904757818e-07, 0)","('layer4.0.conv1', 23.84466666666667, 5.045004490284553e-10, 0)","('layer4.0.bn1', 29.67666666666667, 5.4842319764914765e-08, 0)","('layer4.0.conv2', 13.690666666666669, 8.112465184429616e-10, 0)","('layer4.0.bn2', 22.738666666666663, 2.591553627717076e-07, 0)","('avgpool', 19.102666666666664, 3.696806754037324e-07, 0)"
"('conv1', 20.843333333333327, 3.1952152992986785e-08, 0)","('bn1', 27.815333333333335, 1.6373936905292794e-07, 0)","('layer1.0.conv1', 21.467333333333336, 3.3759120873583e-09, 0)","('layer1.0.bn1', 27.72133333333333, 7.991315363211067e-08, 0)","('layer1.0.conv2', 24.688, 1.3603237958553415e-09, 0)","('layer1.0.bn2', 25.44133333333334, 1.3850609685824664e-07, 0)","('layer2.0.conv1', 24.379333333333335, 2.3797115611766154e-09, 0)","('layer2.0.bn1', 29.364, 1.1834557642735793e-07, 0)","('layer2.0.conv2', 25.415333333333336, 1.1450463423291987e-09, 0)","('layer2.0.bn2', 29.67866666666667, 1.1666364102905696e-07, 0)","('layer3.0.conv1', 23.049333333333333, 9.089798206130383e-10, 0)","('layer3.0.bn1', 29.22533333333333, 1.1630914643889507e-07, 0)","('layer3.0.conv2', 24.27266666666667, 1.1066851061135214e-09, 0)","('layer3.0.bn2', 29.97066666666667, 1.4760456586906611e-07, 0)","('layer4.0.conv1', 24.83533333333333, 3.5358290651856805e-10, 0)","('layer4.0.bn1', 30.212666666666667, 5.647282351589335e-08, 0)","('layer4.0.conv2', 13.98466666666667, 6.670115711964785e-10, 0)","('layer4.0.bn2', 22.737333333333332, 2.69011760581634e-07, 0)","('avgpool', 19.36466666666667, 3.591621475035532e-07, 0)"
"('conv1', 22.354, 1.965946197160521e-08, 0)","('bn1', 27.604666666666667, 1.7338193665491417e-07, 0)","('layer1.0.conv1', 21.21933333333334, 1.7065602657870239e-09, 0)","('layer1.0.bn1', 27.998666666666672, 8.250326551577828e-08, 0)","('layer1.0.conv2', 25.430666666666664, 6.872366563129621e-10, 0)","('layer1.0.bn2', 27.05866666666667, 1.2109933936412237e-07, 0)","('layer2.0.conv1', 25.08533333333333, 4.700432382176384e-09, 0)","('layer2.0.bn1', 29.24333333333333, 1.218672188567628e-07, 0)","('layer2.0.conv2', 24.458000000000002, 9.867936230269455e-10, 0)","('layer2.0.bn2', 28.86066666666667, 1.1558924838949073e-07, 0)","('layer3.0.conv1', 25.218666666666667, 1.3114013169090164e-09, 0)","('layer3.0.bn1', 29.53733333333333, 1.1405531888728243e-07, 0)","('layer3.0.conv2', 24.350666666666665, 7.161212319033439e-10, 0)","('layer3.0.bn2', 29.758000000000006, 1.4760456586906611e-07, 0)","('layer4.0.conv1', 26.464000000000002, 5.902842982322909e-10, 0)","('layer4.0.bn1', 29.965333333333334, 5.647282351589335e-08, 0)","('layer4.0.conv2', 13.433333333333334, 4.84946475421566e-10, 0)","('layer4.0.bn2', 24.003333333333334, 2.2794343637360727e-07, 0)","('avgpool', 22.833333333333336, 3.6705104342868763e-07, 0)"
"('conv1', 24.189999999999994, 1.778460549927939e-08, 0)","('bn1', 27.65866666666666, 1.7123914385447279e-07, 0)","('layer1.0.conv1', 22.772666666666666, 2.9555572310831235e-09, 0)","('layer1.0.bn1', 27.958, 8.120820957394447e-08, 0)","('layer1.0.conv2', 25.417333333333335, 2.9260842465949586e-09, 0)","('layer1.0.bn2', 26.449333333333335, 1.2426420436305408e-07, 0)","('layer2.0.conv1', 25.068666666666665, 3.5149695290480546e-09, 0)","('layer2.0.bn1', 29.21733333333333, 1.2304109966656444e-07, 0)","('layer2.0.conv2', 25.713333333333335, 1.1462185846944014e-09, 0)","('layer2.0.bn2', 29.680000000000003, 1.134404631103583e-07, 0)","('layer3.0.conv1', 23.717333333333332, 1.1553603285493515e-09, 0)","('layer3.0.bn1', 29.186, 1.157456895509919e-07, 0)","('layer3.0.conv2', 25.49599999999999, 6.026386147747569e-10, 0)","('layer3.0.bn2', 29.870000000000008, 1.4823310904757818e-07, 0)","('layer4.0.conv1', 23.675999999999995, 6.167295571685826e-10, 0)","('layer4.0.bn1', 30.161999999999995, 5.582062201550191e-08, 0)","('layer4.0.conv2', 13.206666666666667, 6.211350101239079e-10, 0)","('layer4.0.bn2', 22.738666666666663, 2.591553627717076e-07, 0)","('avgpool', 20.38866666666667, 3.7231030737877723e-07, 0)"
